0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.58027,-8208,-1388,13288,145,-83,165,-30208,-32513,9729,0.10453,0.025718,0.78854,0.1573,0.68945,0.6871,0.16678
0.60272,-8284,-1320,13592,130,-5,31,-29952,-32257,9473,0,0,0,0,0,0,0
0.65551,-8432,-1484,13432,94,38,37,-31488,32255,10497,0,0,0,0,0,0,0
0.72426,-8196,-1544,13280,113,102,-10,-30208,31487,8705,0.10371,0.025473,0.78873,0.14754,0.68606,0.69193,0.16967
0.80252,-8044,-1440,13400,148,-55,95,-30208,32511,9729,0,0,0,0,0,0,0
0.87489,-8176,-1428,13736,168,14,115,-29696,31487,9729,0.10536,0.025717,0.78858,0.7,-0.14064,-0.18317,0.67577
0.95802,-8308,-1376,13588,140,67,40,-30208,-32513,9729,0.10547,0.025711,0.78884,0.70001,-0.14012,-0.18327,0.67585
1.0602,-8132,-1432,13308,78,-8,-60,-29952,32255,9473,0.10583,0.02567,0.78921,0.70062,-0.13981,-0.18358,0.6752
1.125,-8084,-1448,13252,131,-34,45,-28928,32255,9985,0.10628,0.025594,0.78886,0.70559,-0.13799,-0.17139,0.67359
1.2167,-8072,-1408,13444,170,-65,154,-28928,31743,8449,0.10579,0.025612,0.78913,0.70064,-0.14012,-0.1829,0.67529
1.311,-8264,-1276,13548,164,8,91,-29952,32255,8449,0.10581,0.02562,0.78928,0.70071,-0.14015,-0.18255,0.67531
1.392,-8272,-1376,13528,94,68,2,-30464,30719,10497,0.10507,0.025538,0.78923,0.15252,0.69076,0.68632,0.16896
1.4638,-8128,-1524,13384,140,-84,23,-29952,31743,9473,0.10632,0.025659,0.78953,0.69989,-0.13943,-0.18375,0.67598
1.5624,-8292,-1444,13380,149,-117,15,-29952,32255,11009,0.10629,0.025613,0.78929,0.70181,-0.13907,-0.17957,0.67519
1.6499,-8408,-1368,13400,121,-123,-22,-31232,31999,9217,0.10635,0.025636,0.78937,0.70195,-0.13916,-0.17872,0.67525
1.7303,-8060,-1420,13328,123,-104,24,-30464,31743,9985,0,0,0,0,0,0,0
1.8266,-8220,-1428,13400,145,-43,99,-30720,32511,9729,0.10644,0.025639,0.78955,0.70213,-0.1368,-0.17705,0.67598
1.8953,-8208,-1396,13464,129,25,-11,-30720,-32513,9217,0.10651,0.025636,0.78939,0.70249,-0.13761,-0.17655,0.67557
1.9864,-8124,-1428,13208,119,24,-10,-30464,32767,9985,0.10679,0.025715,0.78952,0.70115,-0.13648,-0.17963,0.67638
2.0786,-8220,-1416,13360,132,-112,0,-31232,32511,10241,0.10693,0.025584,0.78934,0.7078,-0.1341,-0.16192,0.6744
2.1559,-8220,-1552,13312,162,-92,63,-28416,32255,11009,0.10645,0.025591,0.78953,0.70218,-0.13496,-0.18006,0.67551
2.2449,-8216,-1496,13420,158,-121,92,-29696,31999,10753,0.10731,0.02558,0.78942,0.7086,-0.13134,-0.16017,0.67452
2.3402,-8192,-1292,13460,109,-151,32,-29696,31487,11265,0.10678,0.025598,0.78927,0.70359,-0.13455,-0.17447,0.67559
2.4126,-8212,-1404,13560,131,-117,-23,-28928,31231,10497,0.10693,0.025629,0.78934,0.70288,-0.13502,-0.17397,0.67636
2.4956,-8240,-1536,13536,105,-55,-11,-29184,-32513,10753,0.1069,0.025637,0.78959,0.70311,-0.13407,-0.17454,0.67616
2.5811,-8104,-1344,13328,126,-50,18,-29952,32767,7937,0.10679,0.025634,0.78962,0.70294,-0.13423,-0.17462,0.67629
2.6699,-8152,-1480,13304,161,-134,119,-28928,32255,10497,0.10622,0.025719,0.78971,0.1503,0.6901,0.6894,0.16094
2.7673,-8184,-1372,13552,131,-103,85,-29952,32255,9985,0,0,0,0,0,0,0
2.8488,-8300,-1524,13564,114,-32,5,-30976,31743,9473,0.10685,0.025642,0.78942,0.70304,-0.13524,-0.17474,0.67595
2.9357,-8432,-1396,13448,119,-99,-9,-31488,32255,12033,0.10741,0.025689,0.7892,0.70908,-0.13528,-0.15813,0.67372
3.0079,-8084,-1416,13348,93,-119,-95,-31232,32511,9729,0.10672,0.0256,0.78929,0.70305,-0.13599,-0.17496,0.67573
3.0975,-8084,-1512,13128,92,11,-153,-31744,32511,11265,0.10671,0.025581,0.78906,0.70264,-0.13626,-0.17508,0.67608
3.1891,-7788,-1416,13156,130,-86,9,-30976,-31745,10497,0.10686,0.025597,0.78894,0.70256,-0.13599,-0.17536,0.67614
3.2805,-8180,-1468,13536,158,-133,168,-30976,32255,12033,0.10689,0.025529,0.78909,0.70247,-0.13662,-0.17628,0.67587
3.3809,-8372,-1624,13612,142,-37,140,-29952,31743,11009,0.10704,0.025591,0.78883,0.70243,-0.13814,-0.17679,0.67547
3.4665,-8328,-1448,13768,125,67,-6,-30720,31999,10241,0,0,0,0,0,0,0
3.5536,-8076,-1452,13536,97,14,-79,-29184,31999,11265,0.10683,0.025573,0.7887,0.70189,-0.1388,-0.17804,0.67556
3.6422,-7976,-1364,13340,117,-146,5,-29952,32767,12033,0.10626,0.025787,0.7886,0.70342,-0.13367,-0.17963,0.67458
3.7367,-8232,-1504,13416,136,-183,63,-28672,31999,12801,0.10656,0.025639,0.7894,0.70021,-0.13992,-0.18754,0.67451
3.8314,-8252,-1348,13420,102,-120,-24,-29952,-31745,12545,0,0,0,0,0,0,0
3.9332,-8144,-1620,13488,69,-163,-196,-30464,-31745,12545,0.10031,0.026481,0.79405,0.68611,-0.15875,-0.22178,0.67444
4.0357,-8180,-1600,13480,91,-45,-200,-29952,-31745,13057,0.097426,0.026006,0.80109,0.69187,-0.18835,-0.2279,0.65871
4.1345,-8008,-1584,13312,131,71,14,-29952,-31745,12545,0.09017,0.025459,0.80995,0.16753,0.65091,0.68543,0.28006
4.2392,-8092,-1236,13460,144,-151,138,-30208,-31489,13825,0,0,0,0,0,0,0
4.3569,-8268,-1456,13684,105,-70,46,-30464,32767,12545,0,0,0,0,0,0,0
4.464,-8216,-1672,13584,140,-110,82,-29184,-31489,12289,0,0,0,0,0,0,0
4.5744,-8156,-1452,13428,150,-91,25,-29184,-32513,13313,0,0,0,0,0,0,0
4.7069,-7972,-1396,13328,114,-212,11,-30208,-32001,13313,0.0031208,0.026578,0.90363,0.19013,0.64699,0.67427,0.30101
4.8187,-8232,-1576,13484,117,-223,65,-30208,-30977,14337,-0.011523,0.031274,0.92192,0.65404,-0.20064,-0.32949,0.6507
4.9218,-8080,-1684,13332,113,-263,77,-29440,-31745,14081,-0.02052,0.035362,0.93463,0.67594,-0.21336,-0.29825,0.63924
5.0303,-8016,-1396,13492,157,-224,51,-30464,-31745,14081,-0.029644,0.037081,0.94546,0.67398,-0.21695,-0.3006,0.63901
5.1413,-8116,-1436,13200,138,-177,-8,-29952,-30721,14593,-0.038553,0.036088,0.95839,0.67493,-0.21281,-0.31042,0.63468
5.2535,-8200,-1460,13452,118,-347,1,-28928,-31745,15105,-0.049589,0.034518,0.9634,0.6705,-0.21876,-0.30526,0.63984
5.3646,-8088,-1724,13684,161,-293,122,-28928,-31233,14081,-0.061512,0.031615,0.96933,0.67095,-0.22562,-0.30067,0.63915
5.4806,-8156,-1328,13408,146,-235,82,-29440,-31745,14081,-0.074196,0.026832,0.97835,0.6669,-0.23124,-0.30154,0.64097
5.609,-8112,-1372,13448,125,-338,-26,-29696,-32513,14849,-0.088018,0.021979,0.99415,0.6678,-0.23448,-0.31349,0.63308
5.7341,-7976,-1488,13676,102,-286,-17,-30208,-32513,14849,-0.11255,0.021234,1.0105,0.66339,-0.23933,-0.32626,0.62944
5.8547,-8008,-1524,13516,114,-623,-35,-28928,-31745,15105,-0.13443,0.020321,1.0213,0.6624,-0.25164,-0.31793,0.62994
5.9755,-7916,-1456,13376,120,-492,-2,-29440,-32257,15617,-0.15428,0.017701,1.0343,0.6605,-0.25917,-0.32164,0.627
6.1056,-8048,-1308,13524,137,-425,10,-29440,-31233,16129,-0.1767,0.013637,1.049,0.6715,-0.26998,-0.32624,0.60808
6.2348,-8080,-1584,13504,92,-425,-18,-29952,-31745,17153,-0.19689,0.014973,1.0608,0.69043,-0.28204,-0.32137,0.58351
6.3647,-7868,-1612,13580,135,-217,92,-28160,-32001,17921,-0.21368,0.020222,1.0736,0.70371,-0.27364,-0.33901,0.56123
6.4987,-7984,-1392,13660,146,-252,99,-27648,-32513,18433,-0.22261,0.02427,1.0911,0.72902,-0.25129,-0.36526,0.52151
6.6326,-7900,-1396,13688,140,-170,50,-28416,30719,16641,-0.22729,0.024613,1.1107,0.75779,-0.21481,-0.40105,0.46772
6.7694,-8028,-1592,13692,137,-170,26,-27648,32511,16897,-0.23572,0.021905,1.123,0.78762,-0.18648,-0.43629,0.39311
6.9083,-7820,-1576,13784,170,-376,21,-27904,-32257,16641,-0.25176,0.018063,1.1327,0.81795,-0.16044,-0.45468,0.31381
7.0589,-7928,-1268,13548,172,-375,81,-26880,-32257,16129,-0.27761,0.0051276,1.1471,0.84899,-0.098068,-0.48034,0.19714
7.2047,-7792,-1360,13340,102,-645,-23,-27136,32511,16385,-0.2899,-0.003121,1.1471,0.87146,-0.031135,-0.47925,0.09956
7.3587,-7856,-1392,13580,131,-450,52,-27392,31743,16129,-0.29926,-0.0082592,1.1501,0.87811,0.0091479,-0.47709,0.034878
7.5084,-7960,-1416,13576,132,-367,57,-28928,31743,18689,-0.30821,-0.012464,1.1518,0.87901,0.03777,-0.4753,0.0012274
7.6641,-8028,-1560,13628,137,-289,-20,-27904,31231,18177,-0.31919,-0.012155,1.1468,0.87769,0.053625,-0.4762,-0.0045036
7.8141,-7720,-1532,13368,153,-290,47,-27904,31743,19201,-0.33221,-0.015174,1.1465,0.87375,0.056267,-0.48304,-0.0079698
7.9737,-7644,-1520,13756,164,-247,91,-27392,31231,18177,-0.35595,-0.019381,1.158,0.86966,0.049593,-0.491,-0.012394
8.1269,-7784,-1352,13660,153,-249,125,-25856,31231,18689,-0.38591,-0.020989,1.1744,0.85951,0.043058,-0.50889,-0.020383
8.2836,-7988,-1468,13732,116,-170,31,-25856,31743,18689,-0.41697,-0.019944,1.1863,0.85066,0.027484,-0.52408,-0.030837
8.4373,-7888,-1532,13792,82,-213,-47,-25600,-32513,18433,-0.44937,-0.023986,1.1977,0.84174,0.014676,-0.53758,-0.047585
8.5984,-7664,-1696,13596,147,-173,34,-26112,32511,18945,-0.47782,-0.031463,1.21,0.83236,0.001721,-0.55053,-0.063985
8.7695,-7640,-1432,13644,195,-169,92,-25344,31231,18177,-0.50101,-0.033813,1.2264,0.82075,-0.0090655,-0.56667,-0.071946
8.9325,-7696,-1348,13788,145,-202,85,-23808,31743,19713,-0.5169,-0.031791,1.2366,0.8136,-0.020268,-0.57608,-0.076043
9.0991,-7784,-1488,13736,84,-154,-42,-25856,30719,18689,-0.52641,-0.032645,1.2385,0.81454,-0.020712,-0.57362,-0.084019
9.269,-7728,-1536,13568,133,-144,29,-26368,30207,18177,-0.50753,-0.031125,1.2301,0.8136,-0.00093371,-0.57738,-0.068508
9.438,-7772,-1552,13720,175,-222,92,-26112,29951,19969,-0.46422,-0.025313,1.2135,0.82878,0.022804,-0.55738,-0.044038
9.6108,-7948,-1480,13800,132,-296,11,-24320,29695,18689,-0.41099,-0.019889,1.1893,0.83615,0.044588,-0.54636,-0.01865
9.787,-7676,-1372,13472,112,-415,10,-24832,32255,21249,-0.35714,-0.013758,1.1651,0.84045,0.07141,-0.53717,0.0016525
9.9609,-7612,-1552,13764,164,-425,60,-24320,31743,20737,0,0,0,0,0,0,0
10.147,-7816,-1620,13844,164,-312,80,-25344,30207,19713,-0.27276,-0.0044079,1.1273,0.84263,0.093617,-0.52972,0.024505
10.324,-7768,-1432,13860,124,-258,-27,-24320,31231,20737,-0.23758,0.0041174,1.1081,0.84996,0.0933,-0.51711,0.038307
10.509,-7560,-1444,13776,117,-154,5,-25088,29951,19457,-0.20806,0.0042711,1.0916,0.85166,0.10334,-0.51218,0.040916
10.695,-7624,-1464,13624,127,-226,19,-23552,29439,20481,-0.17356,0.0032688,1.0686,0.85687,0.10964,-0.50222,0.03907
10.882,-7592,-1448,13640,143,-104,44,-25344,29695,21761,-0.13999,0.0036962,1.043,0.85935,0.11298,-0.49652,0.047083
11.066,-7696,-1532,13684,141,-9,70,-24576,31487,20993,-0.10719,0.0023385,1.0143,0.86418,0.12226,-0.48574,0.048017
11.251,-7508,-1396,13784,139,-75,114,-23296,30719,22273,-0.083682,0.0041182,0.98912,0.87064,0.1152,-0.47573,0.049007
11.442,-7756,-1408,13740,114,52,49,-23552,30463,20993,0,0,0,0,0,0,0
11.631,-7816,-1568,13972,99,-24,1,-24064,29951,21505,-0.043742,0.010177,0.95024,0.88497,0.11038,-0.44972,0.048901
11.831,-7624,-1568,13776,132,-141,22,-24576,29439,20993,-0.043916,0.012336,0.95224,0.88641,0.10856,-0.44744,0.047782
12.03,-7668,-1472,13764,138,-39,52,-24576,29439,22017,-0.074635,0.0088673,0.97963,0.88813,0.10218,-0.44573,0.045981
12.223,-7680,-1456,13928,137,-57,31,-23808,30207,20737,-0.13352,0.0079613,1.0328,0.87729,0.089192,-0.46945,0.044972
12.418,-7792,-1580,13736,104,-83,-5,-24320,31231,21249,-0.20436,0.003487,1.0885,0.86984,0.084956,-0.48432,0.040005
12.615,-7696,-1532,13740,119,-14,-12,-24320,30719,20225,-0.27134,-0.0036609,1.1334,0.86232,0.064934,-0.50105,0.03364
12.815,-7900,-1328,13764,124,-52,7,-23552,32511,22529,-0.33825,-0.01333,1.1678,0.85502,0.04078,-0.51674,0.015824
13.02,-7600,-1528,13640,121,-31,-1,-25088,31999,20993,-0.40654,-0.017031,1.2056,0.84015,0.008882,-0.54226,-0.0044538
13.225,-7480,-1520,13636,165,11,121,-24832,29183,21249,-0.45352,-0.019007,1.2291,0.82551,-0.010753,-0.56383,-0.022796
13.431,-7760,-1448,13808,161,84,145,-24320,31743,20737,-0.48929,-0.018491,1.2437,0.81148,-0.038307,-0.58193,-0.037304
13.637,-7636,-1496,13728,123,102,64,-24576,29439,20481,-0.52125,-0.019454,1.2547,0.79616,-0.060117,-0.59922,-0.058794
13.845,-7792,-1536,13768,115,27,60,-24576,29951,19969,-0.49656,-0.018634,1.2426,0.80762,-0.031474,-0.58725,-0.043497
14.055,-7692,-1540,13732,163,-39,74,-23552,29951,19457,-0.4376,-0.01212,1.2195,0.82885,0.0075532,-0.55933,-0.010408
14.278,-7664,-1596,13632,176,-39,109,-24832,30207,19201,-0.3834,-0.011331,1.1953,0.82795,0.024086,-0.56025,0.0068216
14.488,-7816,-1348,13588,118,-2,56,-25600,30463,19457,-0.334,-0.015287,1.1674,0.83653,0.04001,-0.54629,0.013547
14.709,-7776,-1452,13748,101,-74,-16,-24576,30975,19457,0,0,0,0,0,0,0
14.93,-7636,-1504,13616,120,-42,50,-24576,31487,19457,-0.21608,0.010629,1.0849,0.85271,0.072358,-0.51522,0.046791
15.154,-7744,-1484,13628,117,-25,66,-24832,30719,20225,-0.15325,0.01663,1.0372,0.861,0.082078,-0.49875,0.056407
15.381,-7728,-1372,13660,138,-84,31,-24064,29951,19969,-0.092324,0.012112,0.98835,0.87324,0.08448,-0.47658,0.056447
15.607,-7692,-1640,13624,106,-81,20,-23808,30207,20225,-0.047623,0.014777,0.948,0.88566,0.086891,-0.45299,0.053406
15.854,-7672,-1620,13780,157,-44,22,-24064,30975,20481,-0.015974,0.020207,0.91822,0.88926,0.080524,-0.44788,0.046217
16.084,-7788,-1404,13736,124,-32,40,-24064,31999,20481,-0.03762,0.022647,0.93982,0.89195,0.094674,-0.43809,0.059526
16.315,-7664,-1572,13616,111,21,58,-23808,31231,21249,0,0,0,0,0,0,0
16.544,-7644,-1604,13792,173,-22,103,-23040,30463,19457,-0.17218,0.009894,1.0563,0.88159,0.083817,-0.46073,0.059192
16.791,-7816,-1404,13792,154,114,83,-24320,30719,19713,-0.28038,-0.0080294,1.139,0.86734,0.054487,-0.49298,0.041525
17.028,-7744,-1352,13712,105,107,2,-24832,29695,21249,-0.37243,-0.018378,1.1946,0.8488,0.015726,-0.52802,0.022238
17.27,-7736,-1520,13628,82,53,1,-25088,30975,19457,-0.43791,-0.021204,1.2227,0.8402,-0.020358,-0.54188,0.0045287
17.511,-7672,-1616,13556,133,113,122,-25088,31487,20993,-0.49425,-0.020741,1.248,0.82829,-0.039564,-0.55882,-0.0094361
17.758,-7696,-1464,13508,194,75,168,-23296,29183,20225,-0.54978,-0.014168,1.2731,0.81164,-0.079582,-0.57777,-0.032935
18.009,-7896,-1456,13748,137,91,119,-25344,29183,21249,-0.55914,-0.015968,1.2739,0.80603,-0.073759,-0.58578,-0.041721
18.255,-7784,-1620,13852,132,65,6,-25600,29439,19969,-0.46461,-0.019682,1.2414,0.82384,-0.019453,-0.56647,-0.0034018
18.503,-7696,-1580,13832,151,2,38,-24320,30207,20737,-0.36224,-0.023086,1.1848,0.84008,0.035557,-0.54081,0.022953
18.756,-7648,-1400,13644,135,-18,55,-24320,29695,20225,-0.26075,-0.0087453,1.1118,0.84913,0.072458,-0.52126,0.044878
19.013,-7808,-1420,13720,127,-5,81,-23808,29695,21761,-0.16654,0.011786,1.0405,0.86461,0.080885,-0.49378,0.045684
19.267,-7996,-1548,13848,119,74,25,-24320,29183,20225,-0.097824,0.01451,0.98807,0.87538,0.046681,-0.47976,0.036898
19.541,-7932,-1508,13816,132,151,14,-24832,29183,20737,-0.12076,0.021506,1.0097,0.86557,0.055616,-0.4953,0.048712
19.798,-7988,-1468,13564,137,365,-7,-23808,29695,21761,-0.18503,0.02426,1.0633,0.86464,0.040173,-0.49854,0.047345
20.075,-7804,-1608,13492,130,192,56,-24576,29439,20993,-0.21733,0.018803,1.0818,0.86848,0.036683,-0.49266,0.041103
20.356,-7680,-1520,13652,169,-1,80,-24320,30207,21249,-0.21845,0.00962,1.0826,0.86982,0.095481,-0.48109,0.05339
20.635,-7984,-1576,13840,161,279,57,-24576,30975,19457,-0.20456,-0.01411,1.0699,0.82536,0.35623,-0.41122,0.15093
20.906,-7728,-1328,13744,131,250,8,-22784,32767,20737,-0.18597,-0.016466,1.0608,0.50908,-0.72741,-0.28069,-0.36458
21.188,-7788,-1548,13584,123,115,41,-24320,32255,20225,-0.17063,-0.018998,1.0466,0.64117,0.6389,-0.31383,0.28674
21.459,-7916,-1676,13732,117,49,57,-24576,30463,20993,-0.16396,-0.023013,1.0369,0.65715,-0.61688,-0.3249,-0.28647
21.739,-8080,-1580,13608,138,8,103,-23296,30719,20225,0,0,0,0,0,0,0
22.026,-7892,-1584,13580,142,27,60,-24320,30207,19713,-0.19449,-0.018402,1.0674,-0.46249,0.75809,0.24259,0.39058
22.308,-7900,-1512,13712,149,49,131,-24576,30975,19457,-0.22221,-0.0058599,1.0915,0.82839,0.31619,-0.43893,0.14539
22.595,-7924,-1516,13544,139,152,106,-24832,30207,18177,0,0,0,0,0,0,0
22.909,-7872,-1528,13588,151,317,84,-23808,30207,18689,-0.24218,0.039447,1.1024,0.86873,-0.049809,-0.49275,-0.0051354
23.202,-7792,-1432,13612,120,683,100,-24064,30975,16897,-0.2325,0.061237,1.0878,0.84426,-0.20727,-0.49275,-0.038141
23.495,-7856,-1520,13424,163,1004,199,-25344,30719,18177,-0.22524,0.079058,1.0752,0.80902,-0.32344,-0.48686,-0.062038
23.784,-8356,-1464,13668,90,1001,116,-25856,31743,18689,-0.22941,0.06144,1.0853,0.82295,-0.24891,-0.50806,-0.051695
24.091,-8328,-1408,13604,87,582,-54,-26624,31487,17409,-0.22964,0.016456,1.0884,0.86942,-0.014901,-0.49373,0.011238
24.386,-8004,-1484,13812,90,780,-93,-25344,-32257,16641,-0.22745,-0.020042,1.0884,0.86509,0.16401,-0.46807,0.075015
