745.6714,342,183,27,25,5663.377,-0.46,-0.60,-0.49,0.43,-9.73,1.28,-1.73,-0.02,-0.05,-0.07,16.19,-18.37,6.38
745.6885,341,183,28,25,5663.399,-0.46,-0.60,-0.49,0.43,-9.76,1.27,-1.81,-0.01,-0.00,-0.04,17.00,-19.19,8.00
745.7047,341,183,28,25,5663.422,-0.46,-0.60,-0.49,0.43,-9.74,1.19,-1.76,-0.00,0.04,-0.03,17.00,-19.19,8.00
745.7245,341,184,28,25,5663.442,-0.46,-0.59,-0.49,0.43,-9.62,1.17,-1.78,-0.02,0.05,-0.06,16.56,-18.75,6.75
745.7413,342,185,28,25,5663.467,-0.46,-0.59,-0.50,0.43,-9.60,1.30,-1.96,-0.02,0.05,-0.08,16.56,-18.75,6.75
745.7577,342,185,28,25,5663.488,-0.46,-0.59,-0.50,0.43,-9.55,1.17,-1.96,0.00,0.05,-0.07,18.50,-18.00,6.38
745.7833,344,186,27,25,5663.51,-0.46,-0.59,-0.50,0.43,-9.55,1.14,-2.10,-0.02,0.04,-0.08,18.50,-18.00,6.38
745.8053,344,186,27,25,5663.533,-0.46,-0.59,-0.50,0.43,-9.58,1.15,-2.03,-0.01,0.02,-0.10,18.50,-18.00,6.38
745.8254,344,187,28,25,5663.555,-0.46,-0.59,-0.50,0.43,-9.56,1.14,-2.01,-0.01,0.02,-0.09,17.37,-18.37,7.19
745.8442,347,188,27,24,5663.578,-0.46,-0.59,-0.50,0.43,-9.51,1.10,-2.03,-0.00,0.03,-0.08,17.37,-18.37,7.19
745.8605,347,188,27,24,5663.6,-0.46,-0.59,-0.50,0.44,-9.41,1.10,-2.12,0.00,0.03,-0.09,17.00,-18.00,7.56
745.8782,348,189,27,25,5663.623,-0.46,-0.59,-0.50,0.44,-9.42,1.06,-2.06,0.01,0.02,-0.08,17.00,-18.00,7.56
745.8947,348,189,27,25,5663.645,-0.46,-0.59,-0.50,0.44,-9.50,1.02,-2.02,0.02,0.01,-0.08,17.37,-17.69,8.00
745.9115,348,189,27,25,5663.668,-0.46,-0.59,-0.50,0.44,-9.45,0.95,-2.12,0.00,0.01,-0.08,17.37,-17.69,8.00
745.9281,347,190,28,25,5663.688,-0.46,-0.59,-0.50,0.44,-9.44,0.86,-2.07,0.02,0.02,-0.07,17.69,-18.00,6.38
745.9486,347,190,28,25,5663.713,-0.45,-0.59,-0.50,0.44,-9.37,0.77,-2.12,0.03,0.02,-0.04,17.69,-18.00,6.38
745.9713,348,190,28,26,5663.733,-0.45,-0.59,-0.50,0.44,-9.43,0.71,-2.02,0.01,0.02,-0.03,18.06,-18.37,8.00
745.9937,349,191,27,25,5663.758,-0.45,-0.59,-0.50,0.44,-9.39,0.97,-2.22,0.00,0.02,-0.01,18.06,-18.37,8.00
746.0113,348,192,27,25,5663.778,-0.45,-0.59,-0.50,0.44,-9.37,1.02,-2.14,0.03,0.00,0.01,18.06,-18.37,8.00
746.0275,348,192,27,25,5663.801,-0.45,-0.59,-0.50,0.44,-9.41,0.95,-2.05,0.02,-0.01,0.02,17.69,-18.00,6.75
746.044,348,192,27,25,5663.825,-0.45,-0.59,-0.50,0.44,-9.49,0.95,-2.05,0.01,-0.05,0.00,17.69,-18.00,6.75
746.0622,348,192,27,25,5663.848,-0.45,-0.59,-0.50,0.44,-9.66,0.94,-2.08,0.03,-0.06,-0.00,18.50,-18.00,6.75
746.0787,349,193,27,24,5663.87,-0.45,-0.59,-0.50,0.44,-9.58,0.68,-1.96,0.05,-0.02,-0.02,18.50,-18.00,6.75
746.0984,349,193,27,24,5663.893,-0.45,-0.59,-0.50,0.44,-9.26,0.71,-1.80,0.07,0.02,-0.02,18.06,-18.06,8.38
746.1157,348,194,28,24,5663.916,-0.45,-0.59,-0.50,0.44,-9.38,0.62,-1.76,0.01,-0.02,0.04,18.06,-18.06,8.38
746.1315,348,194,28,24,5663.938,-0.45,-0.59,-0.50,0.44,-9.52,0.86,-1.83,-0.06,-0.02,0.04,17.69,-17.75,7.19
746.1488,348,192,27,26,5663.961,-0.45,-0.59,-0.50,0.44,-9.60,1.29,-2.21,-0.09,0.01,0.05,17.69,-17.75,7.19
746.165,348,192,27,26,5663.983,-0.46,-0.59,-0.50,0.44,-9.60,1.31,-2.25,-0.03,0.05,0.09,17.69,-17.75,7.19
746.1832,348,193,27,25,5664.006,-0.45,-0.59,-0.50,0.44,-9.71,1.13,-2.17,0.04,0.03,0.00,17.37,-18.50,6.00
746.1996,348,193,27,25,5664.028,-0.45,-0.59,-0.50,0.44,-9.89,0.84,-2.07,0.00,-0.05,-0.05,17.37,-18.50,6.00
746.2183,348,192,26,24,5664.053,-0.45,-0.59,-0.50,0.44,-9.68,1.09,-2.16,-0.02,-0.06,-0.04,17.69,-18.37,6.75
746.2347,348,192,26,24,5664.075,-0.45,-0.59,-0.50,0.44,-9.44,1.19,-2.26,0.08,0.03,0.02,17.69,-18.37,6.75
746.2565,348,192,26,24,5664.098,-0.45,-0.59,-0.50,0.44,-9.13,0.56,-1.79,0.14,0.05,-0.02,16.56,-17.69,6.75
746.2753,347,193,27,25,5664.122,-0.45,-0.59,-0.50,0.44,-9.30,0.66,-1.60,0.05,0.02,-0.02,16.56,-17.69,6.75
746.2958,347,193,28,25,5664.145,-0.45,-0.59,-0.50,0.44,-9.65,1.32,-1.92,-0.09,-0.05,0.08,17.69,-18.37,7.56
746.3122,347,193,28,25,5664.167,-0.46,-0.59,-0.50,0.44,-9.89,1.43,-2.44,-0.03,-0.02,0.11,17.69,-18.37,7.56
746.3287,348,193,27,26,5664.188,-0.45,-0.59,-0.50,0.44,-9.66,0.98,-2.02,0.10,0.03,-0.04,17.37,-18.37,6.00
746.3464,348,194,27,25,5664.212,-0.45,-0.59,-0.50,0.44,-9.39,0.50,-1.48,0.09,0.01,-0.09,17.37,-18.37,6.00
746.3627,348,194,27,25,5664.235,-0.45,-0.59,-0.50,0.44,-9.31,0.81,-1.54,-0.10,-0.06,0.05,17.00,-17.69,6.00
746.3794,348,194,27,25,5664.258,-0.46,-0.59,-0.50,0.44,-9.48,1.15,-2.16,-0.07,0.00,0.10,17.00,-17.69,6.00
746.3992,348,195,27,25,5664.278,-0.46,-0.59,-0.50,0.44,-9.35,0.93,-1.92,0.00,0.05,0.04,17.00,-17.69,6.00
746.4253,348,195,27,25,5664.303,-0.46,-0.59,-0.50,0.44,-9.23,0.68,-1.77,-0.01,0.04,0.01,17.69,-18.37,6.75
746.4416,348,195,27,25,5664.325,-0.46,-0.59,-0.50,0.44,-9.48,1.06,-2.03,-0.13,-0.00,0.12,17.69,-18.37,6.75
746.46,346,196,26,25,5664.348,-0.46,-0.59,-0.50,0.43,-9.69,1.28,-2.41,-0.13,-0.02,0.14,17.37,-18.37,7.19
746.4771,342,197,26,25,5664.372,-0.46,-0.59,-0.50,0.43,-9.61,1.39,-2.47,-0.06,0.03,0.08,17.37,-18.37,7.19
746.4938,342,197,26,25,5664.395,-0.46,-0.59,-0.50,0.43,-9.43,1.06,-2.28,0.06,0.07,0.05,17.00,-19.19,7.56
746.5104,340,199,27,24,5664.417,-0.46,-0.60,-0.50,0.43,-9.39,1.01,-1.93,0.03,0.03,0.09,17.00,-19.19,7.56
